part number,configuration,bar thickness,bar width,bar length,hole pattern,hole size,material,pigtail code,pigtail length
EGBC14428CC,(C) Busbar Only,14 - 1/4,4,28,C,7/16 in,Copper,-,-
EGBF12426CB,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",12 - 1/2,4,26,C,9/16 in,Copper,-,-
EGBA12224BB,"(A) Busbar, Insulators and Brackets",12 - 1/2,2,24,B,7/16 in,Copper,-,-
EGBA12224NN,"(A) Busbar, Insulators and Brackets",12 - 1/2,2,24,N,No Hole Pattern,Copper,-,-
EGBA12424CC,"(A) Busbar, Insulators and Brackets",12 - 1/2,4,24,C,7/16 in,Copper,-,-
EGBA12424NN,"(A) Busbar, Insulators and Brackets",12 - 1/2,4,24,N,No Hole Pattern,Copper,-,-
EGBA12624CC,"(A) Busbar, Insulators and Brackets",12 - 1/2,6,24,C,7/16 in,Copper,-,-
EGBA12624NN,"(A) Busbar, Insulators and Brackets",12 - 1/2,6,24,N,No Hole Pattern,Copper,-,-
EGBA12624RR,"(A) Busbar, Insulators and Brackets",12 - 1/2,6,24,R,7/16 in,Copper,-,-
EGBA12824NN,"(A) Busbar, Insulators and Brackets",12 - 1/2,8,24,N,No Hole Pattern,Copper,-,-
EGBA14124NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,1,24,N,No Hole Pattern,Copper,-,-
EGBA14224BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,24,B,7/16 in,Copper,-,-
EGBA14224BBT,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,24,B,7/16 in,Tinned Copper,-,-
EGBA14224BE,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,24,B,5/16 in,Copper,-,-
EGBA14224DD,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,24,D,7/16 in,Copper,-,-
EGBA14224EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,24,E,7/16 in,Copper,-,-
EGBA14224EET,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,24,E,7/16 in,Tinned Copper,-,-
EGBA14224GE,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,24,G,1/4 in,Copper,-,-
EGBA14224GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,24,G,7/16 in,Copper,-,-
EGBA14224GGT,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,24,G,7/16 in,Tinned Copper,-,-
EGBA14224HH,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,24,H,7/16 in,Copper,-,-
EGBA14224JJ,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,24,J,7/16 in,Copper,-,-
EGBA14224NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,24,N,No Hole Pattern,Copper,-,-
EGBA14324AA,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,24,A,7/16 in,Copper,-,-
EGBA14324BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,24,B,7/16 in,Copper,-,-
EGBA14324BBT,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,24,B,7/16 in,Tinned Copper,-,-
EGBA14324CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,24,C,7/16 in,Copper,-,-
EGBA14324CCT,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,24,C,7/16 in,Tinned Copper,-,-
EGBA14324CF,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,24,C,1/4 in,Copper,-,-
